iter	Logloss
0	0.6597914612
1	0.6367471138
2	0.6041642675
3	0.5825452075
4	0.5603280792
5	0.5417904678
6	0.5283498449
7	0.508767459
8	0.4883990477
9	0.478210386
10	0.4655547316
11	0.4507285342
12	0.4399115831
13	0.4286771926
14	0.4162586782
15	0.4042644752
16	0.3945519353
17	0.3841874036
18	0.3744569914
19	0.3613550441
20	0.3585646044
21	0.3508962739
22	0.3444984339
23	0.336589812
24	0.330242167
25	0.3253548194
26	0.3198139202
27	0.313508688
28	0.3098476307
29	0.3061164527
30	0.3028663711
31	0.2957100055
32	0.2925105276
33	0.287199322
34	0.2811953056
35	0.2773860674
36	0.2741389134
37	0.2686605498
38	0.2665021302
39	0.2637013426
40	0.2606486346
41	0.255244033
42	0.2526624566
43	0.250289003
44	0.2468846775
45	0.2438708192
46	0.2400245493
47	0.2373478583
48	0.2343144283
49	0.232775047
50	0.2304044464
51	0.2275028164
52	0.2250706837
53	0.2230336933
54	0.2207818805
55	0.2162492221
56	0.213601948
57	0.2107265758
58	0.2092121836
59	0.2067289058
60	0.2050680835
61	0.2024285734
62	0.1995658591
63	0.1974595732
64	0.1952142111
65	0.1928646845
66	0.1921577677
67	0.1903075048
68	0.1883704668
69	0.1869592869
70	0.1851994815
71	0.1842476061
72	0.1824508534
73	0.1811053741
74	0.1797605291
75	0.1783394723
76	0.1765754162
77	0.1752662967
78	0.1733431767
79	0.171746233
80	0.1706552837
81	0.1698738635
82	0.1686270929
83	0.1676217043
84	0.1656571524
85	0.164388079
86	0.1628183395
87	0.1610321198
88	0.1599600892
89	0.1584902619
90	0.1569308462
91	0.155399107
92	0.1538984026
93	0.1525797513
94	0.1508387967
95	0.1490652065
96	0.1476833192
97	0.1465963315
98	0.1454630172
99	0.1437816379
100	0.142765925
101	0.1410940932
102	0.1398270072
103	0.1391540503
104	0.138473482
105	0.1376735109
106	0.1356215006
107	0.1345149602
108	0.1337021
109	0.1329881765
110	0.1318136502
111	0.130320037
112	0.1290588068
113	0.1284823642
114	0.1278037614
115	0.1271721764
116	0.1262514897
117	0.1250385068
118	0.1241066766
119	0.1228054198
120	0.1210644531
121	0.119869097
122	0.1187274502
123	0.1178936083
124	0.1170580433
125	0.115801015
126	0.1149396483
127	0.1135813673
128	0.1123688317
129	0.1110543191
130	0.1100276108
131	0.1085858151
132	0.1073994866
133	0.1063187046
134	0.1056348077
135	0.1045493762
136	0.1036012451
137	0.1027706181
138	0.1016290575
139	0.1010398701
140	0.100307057
141	0.09895533202
142	0.09773015332
143	0.09709693992
144	0.09637740727
145	0.09539615375
146	0.09450114364
147	0.09382765564
148	0.09299631683
149	0.09229265981
150	0.09165779693
151	0.09091872441
152	0.08974686801
153	0.08910604213
154	0.08879241708
155	0.08859207564
156	0.08769945042
157	0.0865106525
158	0.08552046588
159	0.08497757546
160	0.0840289893
161	0.08371225184
162	0.08306080157
163	0.08268544289
164	0.08230135566
165	0.08146418433
166	0.08075623507
167	0.07991880592
168	0.07918623304
169	0.07886377968
170	0.07819106736
171	0.07809410133
172	0.07748248982
173	0.07678015939
174	0.07642961484
175	0.07553977993
176	0.07512407646
177	0.07414446796
178	0.07355828284
179	0.07283730595
180	0.0720659922
181	0.07114346503
182	0.07073880724
183	0.07066344544
184	0.07006673838
185	0.06940679087
186	0.06900398774
187	0.06852885929
188	0.06790735566
189	0.06737862873
190	0.06690713952
191	0.06631706207
192	0.06579542864
193	0.06563854071
194	0.06535861217
195	0.06483753347
196	0.06392873405
197	0.06316011393
198	0.06284889707
199	0.06214429736
200	0.06194232671
201	0.06189148602
202	0.0612667093
203	0.06073284649
204	0.06022946964
205	0.0601608146
206	0.06004390263
207	0.05987684278
208	0.05932845565
209	0.05920675035
210	0.05909434902
211	0.05864421794
212	0.05821234223
213	0.05774418484
214	0.05721993593
215	0.05680248757
216	0.0562152299
217	0.05574554107
218	0.05519704662
219	0.05500102406
220	0.05440233299
221	0.05401622773
222	0.05376984683
223	0.05369792502
224	0.05325031346
225	0.052920532
226	0.05245855008
227	0.05204247443
228	0.05156771141
229	0.05118460787
230	0.05108386818
231	0.05105620567
232	0.05063366357
233	0.05038382232
234	0.05022361639
235	0.04992901062
236	0.04949778743
237	0.04908650115
238	0.04867014743
239	0.04837733785
240	0.04799782205
241	0.04784288785
242	0.04744586047
243	0.04709467675
244	0.04675580219
245	0.04639489153
246	0.04611876532
247	0.04579940806
248	0.04544246506
249	0.04522624497
250	0.04508149905
251	0.04477620424
252	0.04450139487
253	0.04420884807
254	0.04388272552
255	0.04351969185
256	0.04321183003
257	0.04294403813
258	0.04271587059
259	0.04256428944
260	0.0422532159
261	0.04202322058
262	0.04167772186
263	0.04138349447
264	0.04116131926
265	0.04086077308
266	0.04070733315
267	0.04043516735
268	0.04015114883
269	0.0398556993
270	0.03955750818
271	0.03929630427
272	0.03915235725
273	0.03893114643
274	0.0386876674
275	0.03848787407
276	0.03838863731
277	0.03816806666
278	0.03783897301
279	0.03772202737
280	0.03758479056
281	0.03736167977
282	0.03729920945
283	0.03682385298
284	0.03656323624
285	0.03646211031
286	0.03624957704
287	0.03608725754
288	0.03595121327
289	0.03577377593
290	0.03561379478
291	0.03549006594
292	0.03522231792
293	0.0350231228
294	0.03484658491
295	0.0347344704
296	0.03458398848
297	0.0343864115
298	0.03427862727
299	0.0340942238
300	0.03388597728
301	0.03360966685
302	0.03345831008
